CHROM	Start	End	Length	14	5	15	7	2	3	4	6	8	9	10	11	12	13	16	19	17	20	21	18
Chr03	10929443	10930837	1394	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|12457966-12459330
Chr03	12422556	12430992	8436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|14307141-14315734
Chr03	12542127	12604304	62177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|14481820-14553007
Chr03	14094671	14096884	2213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|15755868-15758106
Chr03	14249485	14259820	10335	Chr03|14823208-14833533	NA	NA	Chr03|14943524-14953792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	14252502	14259820	7318	NA	Chr03|14750898-14758218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	14436307	14446651	10344	Chr03|14993521-15003334	Chr03|14921363-14931168	Chr03|14779861-14789674	Chr03|15114238-15124051	Chr03|15154668-15164540	Chr03|15122644-15132520	Chr03|15193967-15203881	Chr03|15133429-15143337	Chr03|15158897-15168773	Chr03|15259178-15269054	Chr03|15274024-15283900	Chr03|15242656-15252539	Chr03|15022984-15032766	Chr03|15169799-15179707	Chr03|15483998-15493877	Chr03|15035578-15045715	Chr03|15925056-15940989	Chr03|13755221-13765284	Chr03|13693752-13707378	Chr03|16058909-16066264
Chr03	14685943	14687235	1292	NA	NA	NA	NA	NA	NA	Chr03|15485201-15486514	Chr03|15424501-15425814	NA	NA	NA	NA	Chr03|15295200-15296513	Chr03|15460837-15462150	NA	NA	Chr03|16200844-16202157	NA	NA	NA
Chr03	15195411	15210317	14906	NA	NA	NA	NA	NA	NA	Chr03|15933232-15948036	NA	NA	NA	NA	NA	Chr03|15741480-15756192	NA	NA	NA	NA	NA	NA	NA
Chr03	15208590	15210317	1727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|16842759-16844477
Chr03	15427983	15431858	3875	Chr03|16026062-16029924	NA	NA	NA	Chr03|16148572-16152431	NA	NA	NA	Chr03|16156106-16159969	Chr03|16276320-16280182	Chr03|16272256-16276119	NA	NA	NA	Chr03|16481630-16485492	NA	NA	NA	NA	NA
Chr03	15809697	15811974	2277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|15148159-15150361	Chr03|15087962-15090204	NA
Chr03	16363799	16386787	22988	Chr03|17111655-17134809	Chr03|16904857-16941825	Chr03|16795634-16818719	Chr03|17111561-17134590	Chr03|17142076-17165512	Chr03|17173586-17196677	Chr03|17113808-17136929	Chr03|17199517-17222866	Chr03|17231678-17255076	Chr03|17367167-17390568	Chr03|17320962-17344204	Chr03|17330068-17353482	Chr03|16898368-16921252	Chr03|17295241-17318578	Chr03|17542038-17565286	Chr03|17011389-17034857	Chr03|18293974-18317606	Chr03|15701851-15727362	Chr03|15634369-15657582	NA
Chr03	16371818	16386787	14969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|18258578-18273393
Chr03	16449420	16459202	9782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|18478284-18486874
Chr03	18420438	18429567	9129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|17789818-17798729	Chr03|17738176-17747084	NA
Chr03	18666486	18669246	2760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|18059286-18062053	Chr03|18007480-18010247	NA
Chr03	18919421	19256308	336887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|20564105-20914059	NA	NA	NA	NA	NA
Chr03	18919421	19333440	414019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|18423418-18812565	Chr03|18371611-18760705	NA
Chr03	18919421	19341970	422549	NA	Chr03|20008842-20545309	NA	NA	Chr03|20185794-20632497	Chr03|20231637-20861511	Chr03|20052352-20697912	Chr03|20000370-20579849	Chr03|20090375-20673034	Chr03|20231360-20814527	Chr03|20704495-21151093	Chr03|20243838-20844109	Chr03|19758949-20413224	Chr03|20094945-20675420	NA	Chr03|19933330-20601545	NA	NA	NA	NA
Chr03	19350111	19375018	24907	NA	NA	NA	NA	Chr03|20695330-20769924	NA	NA	NA	NA	NA	Chr03|21213899-21288472	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	19350111	19376263	26152	NA	NA	NA	NA	NA	Chr03|20932399-20966827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	19350111	19376815	26704	NA	Chr03|20595356-20670323	NA	NA	NA	NA	Chr03|20734646-20756357	Chr03|20648743-20674932	Chr03|20741714-20767832	Chr03|20883378-20909428	NA	Chr03|20881834-20908025	Chr03|20449839-20471566	Chr03|20744261-20770444	Chr03|20989657-21053943	Chr03|20638283-20659995	NA	NA	NA	NA
Chr03	19350907	19376815	25908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|18854213-18861304	Chr03|18811233-18818324	NA
Chr03	19585758	19601193	15435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|22102754-22119133
Chr03	19667064	19673565	6501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|22853367-22859844	NA	NA	NA
Chr03	19669557	19896429	226872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|19423617-19592944	Chr03|19196985-19366293	NA
Chr03	19711026	19714665	3639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|22174753-22178353
Chr03	19909481	19919821	10340	NA	NA	NA	NA	Chr03|21732549-21742569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	20546820	20548954	2134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|24042239-24044370	NA	NA	NA
Chr03	20546820	20549480	2660	NA	Chr03|22405192-22407846	NA	NA	Chr03|22548358-22551012	Chr03|22351017-22368885	Chr03|22463486-22470544	Chr03|22060535-22067594	Chr03|22323743-22330803	Chr03|22481047-22488071	Chr03|23093052-23095706	Chr03|22536928-22543990	Chr03|22229204-22236265	Chr03|22159726-22166786	Chr03|22827533-22830187	Chr03|22438665-22445723	NA	Chr03|20254802-20257451	Chr03|20020638-20023287	NA
Chr03	20747880	20751365	3485	NA	NA	NA	NA	NA	NA	Chr03|22728325-22731802	NA	NA	NA	NA	NA	Chr03|22485569-22489047	NA	NA	Chr03|22703945-22707423	NA	NA	NA	NA
Chr03	20913355	20917906	4551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|24207804-24212323
Chr03	21527613	21537824	10211	NA	NA	NA	NA	NA	NA	Chr03|23643251-23653443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	21738878	22003612	264734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|21146646-21452951	NA
Chr03	22035263	22040627	5364	NA	NA	Chr03|23043097-23048462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	22099383	22101094	1530	NA	NA	NA	Chr03|23550888-23552420	Chr03|24405217-24406726	Chr03|24220148-24221658	Chr03|24237279-24238769	Chr03|23780659-23782168	Chr03|24043208-24044717	Chr03|24256034-24257543	Chr03|24950261-24951770	Chr03|24254894-24256403	Chr03|24012066-24013558	Chr03|23881015-23882524	Chr03|24630263-24631772	Chr03|24238982-24240476	Chr03|26114735-26116269	Chr03|21791031-21792547	Chr03|21564780-21566519	NA
Chr03	23673022	23674843	1821	NA	NA	NA	NA	NA	Chr03|26360820-26362641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|23458492-23460312	Chr03|23180087-23181907	NA
Chr03	24176088	24178008	1920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|28033645-28035607
Chr03	25169413	25185306	15893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|24762904-24778405	NA	NA
Chr03	29226301	29229943	3642	NA	NA	NA	NA	NA	NA	NA	Chr03|31556150-31559783	Chr03|31687026-31690659	NA	NA	NA	NA	NA	NA	Chr03|32123079-32126709	NA	NA	NA	NA
Chr03	29454762	29456436	1674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|34059279-34060940
Chr03	30030873	30035896	5023	NA	NA	NA	NA	Chr03|32992234-32997251	NA	Chr03|32621149-32626207	NA	NA	NA	NA	NA	Chr03|32490206-32495229	NA	NA	NA	NA	NA	NA	NA
Chr03	31113057	31118720	5663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|35867475-35873262	NA	NA	NA
Chr03	31113057	31121022	7965	NA	NA	NA	NA	NA	NA	Chr03|33711894-33719846	NA	NA	NA	NA	NA	Chr03|33589496-33597448	NA	NA	Chr03|34222503-34230454	NA	NA	NA	NA
Chr03	31113057	31123515	10458	Chr03|32256327-32266939	Chr03|33192408-33203020	Chr03|32604735-32615349	Chr03|33153910-33164523	Chr03|34142979-34153539	Chr03|33968955-33979516	NA	Chr03|33605221-33615782	Chr03|33765651-33776164	Chr03|34060887-34071372	Chr03|35036874-35047492	Chr03|34248494-34259108	NA	Chr03|33574799-33585361	Chr03|34239882-34250446	NA	NA	NA	NA	NA
Chr03	31175129	31195842	20713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|35103945-35124655	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	31176493	31194645	18152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|35936397-35950366	NA	NA	NA
Chr03	31186439	31194645	8206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|30603346-30611495	Chr03|30359723-30367876	NA
Chr03	31191428	31194242	2814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|35846189-35848957
Chr03	31292068	31293504	1436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|35911497-35912898
Chr03	34690991	34692664	1673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|33646001-33647670	NA
Chr03	34783642	34815450	31858	NA	NA	NA	NA	Chr03|37783750-37823710	Chr03|37631021-37671408	Chr03|37303675-37335740	Chr03|37241837-37282232	Chr03|37473934-37510436	Chr03|37699102-37730554	Chr03|38710465-38750874	Chr03|37891926-37923376	Chr03|37185555-37217621	Chr03|37210988-37251401	Chr03|37872056-37903505	NA	Chr03|39813461-39845205	NA	NA	Chr03|39435057-39462471
Chr03	34784990	34815450	30460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|39813461-39845205	NA	NA	NA
Chr03	34785220	34813128	27908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|39435057-39462471
Chr03	35568754	35570424	1670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|34745695-34747368	Chr03|34462219-34463895	NA
Chr03	35804113	35805731	1618	NA	NA	NA	NA	Chr03|38771370-38772973	NA	NA	NA	Chr03|38513365-38514969	NA	Chr03|39700816-39702420	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	17912	45230	27318	Chr04|5427-20703	NA	NA	NA	NA	NA	NA	NA	Chr04|1033-16291	NA	NA	NA	NA	Chr04|2316-17574	Chr04|6335-21593	NA	NA	NA	NA	NA
Chr04	763293	805607	42314	NA	NA	NA	NA	Chr04|849980-923284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	1584910	1613187	28277	NA	NA	NA	NA	Chr04|1550704-1562620	NA	NA	Chr04|1576053-1587968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	1640882	1643005	2123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|1555438-1557525	NA	NA	NA	NA	NA
Chr04	1791537	1792977	1456	Chr04|1481083-1482552	NA	NA	Chr04|1748118-1749587	NA	Chr04|1832585-1834063	Chr04|1713966-1715448	NA	Chr04|1822722-1824200	Chr04|1732468-1733946	NA	Chr04|1548428-1549912	Chr04|1617557-1619035	Chr04|1670111-1671589	Chr04|1819433-1820911	NA	Chr04|1478137-1479621	Chr04|1656435-1657854	Chr04|1590048-1591467	NA
Chr04	2103122	2291225	188103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|1811087-1972538	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	2109461	2291225	181764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|1758259-1874872	NA	NA	NA
Chr04	2123702	2291225	167523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|2206288-2317668	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	2218683	2289670	70987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|1848278-1909525	Chr04|1784770-1846025	NA
Chr04	2220832	2291225	70393	NA	Chr04|1858099-1989332	NA	NA	Chr04|2060174-2195035	Chr04|2085941-2221120	NA	Chr04|2060908-2197009	NA	NA	NA	NA	Chr04|1888400-1943891	Chr04|1923215-2059320	Chr04|2090333-2145823	NA	NA	NA	NA	NA
Chr04	2255750	2289804	34054	NA	NA	Chr04|1906000-1966254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	2281417	2288515	7098	NA	NA	NA	Chr04|2073643-2080913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	2281417	2291225	9808	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|2075621-2085516	Chr04|2019057-2029096	NA	NA	NA	NA	NA	Chr04|2064862-2074757	NA	NA	NA	NA
Chr04	2281669	2289811	8142	Chr04|1777787-1785597	NA	NA	NA	NA	NA	Chr04|2076149-2084052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	2333867	2336483	2616	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|2036742-2039353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	3467941	3473184	5243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|2804416-2809790	NA	NA	NA
Chr04	3994792	4055799	61007	NA	Chr04|3518509-3621620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	4319073	4321359	2312	NA	Chr04|3992206-3994589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|3127940-3130243	Chr04|3155319-3157622	NA
Chr04	4324981	4343100	18119	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|3641014-3644357	NA	NA	NA	Chr04|3973796-3977148	NA	NA	NA	NA	NA	NA	NA
Chr04	4358673	4361139	2466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|2072640-2075079
Chr04	4939906	4990149	50243	NA	NA	NA	Chr04|4583140-4591874	NA	Chr04|4762797-4771531	Chr04|4714306-4723040	NA	NA	NA	NA	NA	NA	Chr04|4626906-4635640	NA	Chr04|4220371-4229099	NA	NA	NA	NA
Chr04	6709325	6759464	50139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|6890841-6928507	NA	NA	NA	NA	NA
Chr04	7877300	7903263	25963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|7743478-7771847	NA	NA	NA	NA	NA
Chr04	7877301	7898148	20847	NA	Chr04|7128792-7155334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	7877308	7902026	24718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|6180892-6206129	NA	NA
Chr04	7879458	7903263	23805	NA	NA	NA	Chr04|7620562-7646753	NA	Chr04|7827211-7853408	NA	Chr04|6719461-6745698	Chr04|7465249-7491443	Chr04|7655011-7681204	Chr04|8086985-8113189	Chr04|7672253-7698475	Chr04|7274742-7300942	Chr04|7502458-7538895	NA	NA	Chr04|7097248-7124645	NA	NA	NA
Chr04	7892187	7898148	5961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|6132098-6138060	NA
Chr04	7898692	7957074	58382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|6139884-6190180	NA
Chr04	8194039	8201195	7156	NA	NA	NA	Chr04|7795034-7865243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	8471324	8480003	8679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|6827869-6840430	Chr04|6776776-6789337	NA
Chr04	8472540	8476312	3772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|7027692-7031436
Chr04	8638424	8639865	1441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|7557862-7559351
Chr04	8709096	8715813	6717	NA	NA	NA	NA	Chr04|8428819-8455671	Chr04|9151178-9170908	Chr04|8209526-8228594	Chr04|7869537-7901553	Chr04|8949951-8969680	Chr04|8832939-8859757	Chr04|9577296-9597026	Chr04|8874771-8906768	Chr04|8176715-8195803	Chr04|8979319-8999052	Chr04|9518148-9537697	Chr04|7765779-7784857	Chr04|8179887-8199514	NA	NA	NA
Chr04	10984399	11034869	50470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|9132085-9170209
Chr04	11053955	11087184	32951	NA	NA	NA	NA	Chr04|10720472-10770233	Chr04|11292911-11351577	Chr04|10564988-10606385	NA	Chr04|11933894-11992365	Chr04|11989070-12047313	Chr04|12047612-12106278	NA	Chr04|10984414-11025827	Chr04|12014855-12073478	Chr04|12658578-12720414	Chr04|10464378-10505767	Chr04|11375445-11428903	NA	NA	NA
Chr04	11693446	11697545	4099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|12072885-12076975	NA	NA	NA
Chr04	11828858	11839594	10736	NA	NA	NA	NA	Chr04|11562514-11570133	Chr04|12144143-12151763	Chr04|11453357-11460976	NA	Chr04|12783304-12790924	NA	Chr04|12898806-12906426	NA	Chr04|11873786-11881405	Chr04|12865762-12873382	Chr04|13569911-13577531	Chr04|11360076-11367695	NA	NA	NA	NA
Chr04	12001281	12011965	10655	Chr04|10664300-10671823	Chr04|10501251-10508774	Chr04|11465746-11473444	Chr04|10843950-10851639	Chr04|11649302-11656797	Chr04|12231042-12238538	NA	Chr04|11570798-11578286	Chr04|12870143-12877639	Chr04|12905057-12912543	Chr04|12985625-12993121	Chr04|12570462-12577948	NA	Chr04|12952566-12960062	Chr04|13651428-13658893	NA	Chr04|12309292-12349440	Chr04|9772269-9779783	Chr04|9541591-9549105	NA
Chr04	12901736	12957968	56232	NA	NA	NA	NA	NA	NA	Chr04|12398035-12446922	NA	NA	NA	NA	NA	Chr04|12823016-12865979	NA	NA	NA	NA	NA	NA	NA
Chr04	12953491	12958584	5093	NA	NA	NA	NA	NA	NA	NA	Chr04|12359776-12364914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	12955375	12956768	1393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|10729775-10731173
Chr04	12963305	13105496	142191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|10557002-10668186	NA	NA
Chr04	13762835	13769295	6460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14156787-14163411	NA	NA	NA
Chr04	13913783	13917741	3958	NA	NA	NA	Chr04|12758210-12762211	Chr04|13678909-13682868	Chr04|14325208-14329167	Chr04|13643607-13647563	Chr04|13709209-13713168	Chr04|14876536-14880495	NA	Chr04|14832958-14836917	Chr04|14567021-14570980	Chr04|14053120-14057076	Chr04|14966079-14970038	Chr04|15690646-15694605	Chr04|13577520-13581476	NA	NA	NA	NA
Chr04	13919708	13924753	5045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|11723190-11728552
Chr04	13934610	13973864	39254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14898615-14940577	NA	NA	NA	Chr04|15737228-15773584	NA	NA	NA	NA	NA
Chr04	13934610	14041718	107108	Chr04|12530235-12637301	Chr04|12376891-12483957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	13936307	14041718	105411	NA	NA	Chr04|13351074-13484245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14317393-14399774	NA	NA	NA
Chr04	13938942	14038996	100053	NA	NA	NA	NA	Chr04|13692996-13757758	NA	NA	Chr04|13723296-13788097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	13941271	14036755	95484	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14893244-14952765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	13944048	14034028	89980	NA	NA	NA	Chr04|12776919-12832288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	13944275	14041718	97443	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14877276-14974705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	13952452	13973864	21412	NA	NA	NA	NA	NA	Chr04|14368884-14390380	NA	NA	NA	NA	NA	NA	NA	Chr04|15009648-15031146	NA	NA	NA	NA	NA	NA
Chr04	13954291	14046262	91971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|11917935-11988556	NA	NA
Chr04	13960149	13973864	13715	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14613724-14627442	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	14672054	15129964	457910	NA	NA	Chr04|14328419-14792720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	15192389	15261344	68955	Chr04|13823742-13898099	Chr04|13690301-13763175	Chr04|14857365-14930211	Chr04|13911145-13984047	Chr04|14936963-15004564	Chr04|15554766-15627132	NA	NA	Chr04|16119961-16192164	Chr04|16116659-16191040	NA	Chr04|15772361-15846814	NA	Chr04|16209377-16281736	NA	NA	NA	NA	NA	NA
Chr04	16735375	16779346	43971	NA	NA	NA	Chr04|15387290-15431265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	16937836	16959889	22053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14016896-14045825	Chr04|14057178-14085424	NA
Chr04	17077275	17098573	21298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|16934682-16958563	NA	NA	NA
Chr04	17097405	17098573	1168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|16149019-16150173	NA	NA	Chr04|15590786-15591938	NA	NA	NA	NA
Chr04	17307667	17309762	2095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14341559-14343693	Chr04|14369895-14372029	NA
Chr04	17319075	17443097	124022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|14933895-15287872
Chr04	17723456	18681774	958318	NA	NA	NA	NA	Chr04|17847313-18938183	NA	NA	Chr04|17034709-18092531	NA	Chr04|19085987-20194719	Chr04|18435391-19527117	NA	NA	NA	Chr04|19326808-20417277	NA	NA	NA	NA	NA
Chr04	18351082	18359754	8672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|18249437-18258150	NA	NA	NA
Chr04	18897304	18898985	1681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|18891641-18893266	NA	NA	NA
Chr04	20816891	20838878	22011	Chr04|19417660-19442277	NA	NA	NA	Chr04|21340812-21360738	Chr04|21297328-21317256	NA	Chr04|20453209-20473147	Chr04|21648793-21668608	Chr04|22586111-22606049	Chr04|21875518-21895406	Chr04|22257794-22277734	NA	Chr04|21953951-21973888	Chr04|22827710-22847649	NA	Chr04|20939815-20959721	Chr04|17955815-17975735	Chr04|17979845-17999804	NA
Chr04	20954045	20955920	1875	NA	Chr04|19437640-19439542	NA	Chr04|19732602-19734503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr04	22002559	22004035	1476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr04|19129053-19130531	Chr04|19131874-19133353	NA
Chr04	25652073	25678706	26633	Chr04|24310192-24336887	Chr04|24245755-24272385	Chr04|25525676-25552340	Chr04|24457328-24483997	Chr04|26222141-26248839	Chr04|26244337-26271031	NA	Chr04|25273338-25300027	Chr04|26657509-26684170	Chr04|27616249-27642971	Chr04|26853245-26879957	Chr04|27115856-27142527	NA	Chr04|26893208-26919896	Chr04|27738130-27764790	NA	NA	NA	NA	NA
Chr04	25655548	25675234	19686	NA	NA	NA	NA	NA	NA	Chr04|24889270-24916010	NA	NA	NA	NA	NA	Chr04|25442011-25468749	NA	NA	Chr04|25126302-25146575	Chr04|26227899-26250606	Chr04|22588091-22608447	Chr04|22666002-22686363	NA
